id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
LOC100823871	KOZ1C	KOZ1T	697.1580418318277	616.8353636927644	0.1755983163554511	0.41151625526337793	0.9999258991348372	notDE
LOC100823872	KOZ1C	KOZ1T	1976.123507893019	2146.450975199983	-0.11975948040308926	0.6973980820703101	0.9999258991348372	notDE
LOC100823873	KOZ1C	KOZ1T	7.826350806389617	21.068744914855486	-1.4487053822926423	0.1878842117765833	0.9999258991348372	notDE
LOC100823874	KOZ1C	KOZ1T	4075.72721993054	5015.526503649205	-0.2995813583339882	0.15132851434165126	0.9999258991348372	notDE
LOC100823875	KOZ1C	KOZ1T	57.83305802036382	46.455140864152376	0.3199865810679889	0.35091721640268897	0.9999258991348372	notDE
LOC100823876	KOZ1C	KOZ1T	281.644307734717	306.49266319149797	-0.119433097847818	0.554184832156482	0.9999258991348372	notDE
LOC100823877	KOZ1C	KOZ1T	1387.9640416971304	1515.971456193994	-0.12778960039226162	0.48403618468880755	0.9999258991348372	notDE
LOC100823878	KOZ1C	KOZ1T	220.72230664846705	229.98680301089394	-0.055342089169350094	0.8092915545989527	0.9999258991348372	notDE
LOC100823879	KOZ1C	KOZ1T	221.08637429165398	278.2085662713118	-0.33109153840117167	0.16431988962429692	0.9999258991348372	notDE
LOC100823880	KOZ1C	KOZ1T	369.1630828394616	564.971158499487	-0.6160770247092198	0.09999235406141004	0.9999258991348372	notDE
LOC100823881	KOZ1C	KOZ1T	404.6425477870542	427.5404632876359	-0.07776341381565555	0.6420480501321841	0.9999258991348372	notDE
LOC100823882	KOZ1C	KOZ1T	1645.26226474378	1545.232137591769	0.09116441524168348	0.7630399892528155	0.9999258991348372	notDE
LOC100823883	KOZ1C	KOZ1T	403.69959765416854	400.4826165422381	0.010201642165149575	0.953787417443426	0.9999258991348372	notDE
LOC100823884	KOZ1C	KOZ1T	406.06662971157607	358.1367838638625	0.1830720739562148	0.642029437064522	0.9999258991348372	notDE
LOC100823885	KOZ1C	KOZ1T	217.32757415267955	208.96046522405925	0.05966077614907767	0.8324196259761806	0.9999258991348372	notDE
LOC100823886	KOZ1C	KOZ1T	294.0262862452425	276.9720197402787	0.085006693465492	0.6444234338429438	0.9999258991348372	notDE
